"domain","linked_pairs","core_pairs","detected_rate","specification","omitted_terms","code","denominator_sensitivity_rate"
"macro_aggregates",1938,91,4.6956,"leave_out_populorum_progressio","populorum_progressio","ax1_link_genuine",7.0434
"euro_changeover",243,0,0,"leave_out_populorum_progressio","populorum_progressio","ax1_link_genuine",0
"taxes_fiscal",14110,206,1.46,"leave_out_populorum_progressio","populorum_progressio","ax1_link_genuine",4.6105
"business_comp",13143,120,0.913,"leave_out_populorum_progressio","populorum_progressio","ax1_link_genuine",2.6086
"green_energy",1559,202,12.957,"leave_out_populorum_progressio","populorum_progressio","ax1_link_genuine",14.6683
"housing",2627,1,0.0381,"leave_out_populorum_progressio","populorum_progressio","ax1_link_genuine",0.0508
"demography_econ",567,3,0.5291,"leave_out_populorum_progressio","populorum_progressio","ax1_link_genuine",0.9921
"inflation_prices",787,1,0.1271,"leave_out_populorum_progressio","populorum_progressio","ax1_link_genuine",0.1695
"unemployment",3335,30,0.8996,"leave_out_populorum_progressio","populorum_progressio","ax1_link_genuine",1.384
"wages_income",9776,44,0.4501,"leave_out_populorum_progressio","populorum_progressio","ax1_link_genuine",1.8004
"poverty_social",31354,582,1.8562,"leave_out_populorum_progressio","populorum_progressio","ax1_link_genuine",2.59
"macro_aggregates",1938,91,4.6956,"leave_out_populorum_progressio","populorum_progressio","ax1_strict",7.224
"euro_changeover",243,0,0,"leave_out_populorum_progressio","populorum_progressio","ax1_strict",0
"taxes_fiscal",14110,206,1.46,"leave_out_populorum_progressio","populorum_progressio","ax1_strict",4.8667
"business_comp",13143,120,0.913,"leave_out_populorum_progressio","populorum_progressio","ax1_strict",3.0433
"green_energy",1559,202,12.957,"leave_out_populorum_progressio","populorum_progressio","ax1_strict",14.6683
"housing",2627,1,0.0381,"leave_out_populorum_progressio","populorum_progressio","ax1_strict",0.0508
"demography_econ",567,3,0.5291,"leave_out_populorum_progressio","populorum_progressio","ax1_strict",0.9921
"inflation_prices",787,1,0.1271,"leave_out_populorum_progressio","populorum_progressio","ax1_strict",0.1773
"unemployment",3335,30,0.8996,"leave_out_populorum_progressio","populorum_progressio","ax1_strict",1.384
"wages_income",9776,44,0.4501,"leave_out_populorum_progressio","populorum_progressio","ax1_strict",1.929
"poverty_social",31354,582,1.8562,"leave_out_populorum_progressio","populorum_progressio","ax1_strict",3.4804
"macro_aggregates",1938,94,4.8504,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_link_genuine",7.2756
"euro_changeover",243,0,0,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_link_genuine",0
"taxes_fiscal",14110,208,1.4741,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_link_genuine",4.6551
"business_comp",13143,121,0.9206,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_link_genuine",2.6303
"green_energy",1559,202,12.957,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_link_genuine",14.6683
"housing",2627,1,0.0381,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_link_genuine",0.0508
"demography_econ",567,3,0.5291,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_link_genuine",0.9921
"inflation_prices",787,1,0.1271,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_link_genuine",0.1695
"unemployment",3335,30,0.8996,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_link_genuine",1.384
"wages_income",9776,44,0.4501,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_link_genuine",1.8004
"poverty_social",31354,586,1.869,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_link_genuine",2.6079
"macro_aggregates",1938,94,4.8504,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_strict",7.4622
"euro_changeover",243,0,0,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_strict",0
"taxes_fiscal",14110,208,1.4741,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_strict",4.9137
"business_comp",13143,121,0.9206,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_strict",3.0687
"green_energy",1559,202,12.957,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_strict",14.6683
"housing",2627,1,0.0381,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_strict",0.0508
"demography_econ",567,3,0.5291,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_strict",0.9921
"inflation_prices",787,1,0.1271,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_strict",0.1773
"unemployment",3335,30,0.8996,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_strict",1.384
"wages_income",9776,44,0.4501,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_strict",1.929
"poverty_social",31354,586,1.869,"leave_out_octogesima_adveniens","octogesima_adveniens","ax1_strict",3.5044
"macro_aggregates",1938,94,4.8504,"leave_out_laborem_exercens","laborem_exercens","ax1_link_genuine",7.2756
